cv,avgcv,maxcv,mincv,maxdate,mindate,maxlon,minlon,maxlat,minlat,datapts
t2m,5.577,41.082,-69.162,2015-12-01,2011-01-01,180,-179.75,90,-90,62294400
t2m,5.931,42.328,-70.209,2020-12-01,2016-01-01,180,-179.75,90,-90,62294400
tp,2.43,139.313,0,2015-12-01,2011-01-01,180,-179.75,90,-90,62294400
tp,2.453,135.426,0,2020-12-01,2016-01-01,180,-179.75,90,-90,62294400
